,id,cts
0,1,1668
1,2,871
2,3,476
3,4,739
4,5,95772
5,6,1184
6,7,0
7,8,10819
8,9,0
9,10,5493
10,11,821
11,12,391
12,13,11544
13,14,0
14,15,313496
15,16,2791
16,17,4637
17,18,810
18,19,1947
19,20,13265
20,21,2490
21,22,5734
22,23,86609
23,24,937
24,25,0
25,26,21062
26,27,502
27,28,0
28,29,0
29,30,926
30,31,97
31,32,3552
32,33,544750
33,34,126882
34,35,14110
35,36,496
36,37,525
37,38,640
38,39,383
39,40,984
40,41,624
41,42,1085
42,43,0
43,44,245592
44,45,13203
45,46,476
46,47,5959
47,48,7829
48,49,2244
49,50,24221
50,51,0
51,52,1327
52,53,72629
53,54,0
54,55,459
55,56,510
56,57,2067
57,58,6145
58,59,4503
59,60,6217
60,61,55488
61,62,21927
62,63,4055
63,64,172
64,65,740
65,66,2475
66,67,177432
67,68,1317
68,69,2281
69,70,33578
70,71,32764
71,72,4792
72,73,0
73,74,697
74,75,38898
75,76,6120
76,77,1698
77,78,0
78,79,4951
79,80,0
80,81,286950
81,82,197711
82,83,1947
83,84,1467
84,85,1495
85,86,845
86,87,1316
87,88,54314
88,89,319
89,90,46
90,91,5538
91,92,1546
92,93,939
93,94,63612
94,95,43145
95,96,383
96,97,1284
97,98,559
98,99,2490
99,100,1908
100,101,5355
101,102,2673
102,103,1122
103,104,3
104,105,51
105,106,450
106,107,271
107,108,4702
108,109,2066
109,110,0
110,111,5286
111,112,12877
112,113,0
113,114,844
114,115,19171
115,116,703
116,117,196
117,118,1382
118,119,366
119,120,490
120,121,0
121,122,526
122,123,0
123,124,5596
124,125,0
125,126,4264
126,127,1505
127,128,0
128,129,390
129,130,40923
130,131,368
131,132,37
132,133,1742
133,134,6918
134,135,96
135,136,0
136,137,1015
137,138,1281
138,139,0
139,140,10
140,141,0
141,142,33
142,143,3816
143,144,89128
144,145,0
145,146,1267
146,147,4368
147,148,1935
148,149,282995
149,150,0
150,151,243
151,152,3792
152,153,1513
153,154,19447
154,155,67038
155,156,0
156,157,4110
157,158,179315
158,159,22825
159,160,0
160,161,886
161,162,0
162,163,59280
163,164,359568
164,165,92995
165,166,1082
166,167,1536
167,168,17680
168,169,0
169,170,2462
170,171,1542
171,172,1457
172,173,530
173,174,0
174,175,0
175,176,29588
176,177,42
177,178,0
178,179,0
179,180,14060
180,181,911
181,182,104173
182,183,1787
183,184,0
184,185,80
185,186,150
186,187,240
187,188,2707
188,189,5595
189,190,0
190,191,18328
191,192,27550
192,193,88635
193,194,167267
194,195,0
